MONTH,ERA5,M_CLM,E_HIRHAM,E_RACMO,H_RACMO,C_RCA,E_RCA,I_RCA,H_RCA,M_RCA,VAR,PERIOD
IX,NA,NA,NA,0.59755,NA,0.35548,0.69954,0.70163,0.85233,0.58618,VPD_d,2076_2100
X,NA,NA,NA,0.30854,NA,0.19529,0.29609,0.29041,0.35627,0.27134,VPD_d,2076_2100
XI,NA,NA,NA,0.14236,NA,0.12646,0.13502,0.17041,0.15173,0.15267,VPD_d,2076_2100
XII,NA,NA,NA,0.095184,NA,0.096462,0.10683,0.13935,0.1104,0.11322,VPD_d,2076_2100
I,NA,NA,NA,0.041981,NA,0.038545,0.045313,0.046676,0.047539,0.046772,delta_d,1981_2005
II,NA,NA,NA,0.041693,NA,0.039254,0.044306,0.045067,0.050257,0.048164,delta_d,1981_2005
III,NA,NA,NA,0.049093,NA,0.048346,0.052404,0.053154,0.058329,0.059469,delta_d,1981_2005
IV,NA,NA,NA,0.066228,NA,0.062669,0.066885,0.063794,0.072971,0.073898,delta_d,1981_2005
V,NA,NA,NA,0.088808,NA,0.082712,0.083299,0.077328,0.094504,0.091771,delta_d,1981_2005
VI,NA,NA,NA,0.10136,NA,0.10529,0.097775,0.099307,0.12264,0.1088,delta_d,1981_2005
VII,NA,NA,NA,0.11559,NA,0.12139,0.11596,0.12166,0.13432,0.12081,delta_d,1981_2005
VIII,NA,NA,NA,0.11578,NA,0.12015,0.11494,0.12039,0.13053,0.12142,delta_d,1981_2005
IX,NA,NA,NA,0.093017,NA,0.09787,0.095275,0.097648,0.10372,0.10426,delta_d,1981_2005
X,NA,NA,NA,0.073219,NA,0.075111,0.073358,0.076279,0.077782,0.080852,delta_d,1981_2005
XI,NA,NA,NA,0.052457,NA,0.055017,0.058045,0.060964,0.059836,0.060712,delta_d,1981_2005
XII,NA,NA,NA,0.045039,NA,0.042073,0.046354,0.051108,0.048017,0.052068,delta_d,1981_2005
I,NA,NA,NA,0.052417,NA,0.052492,0.056452,0.058657,0.06267,0.058145,delta_d,2076_2100
II,NA,NA,NA,0.05393,NA,0.057067,0.057196,0.062999,0.063666,0.061197,delta_d,2076_2100
III,NA,NA,NA,0.062095,NA,0.061782,0.068198,0.069517,0.072217,0.072955,delta_d,2076_2100
IV,NA,NA,NA,0.082029,NA,0.074357,0.082733,0.077916,0.0876,0.08727,delta_d,2076_2100
V,NA,NA,NA,0.09928,NA,0.092336,0.10059,0.096153,0.11788,0.10974,delta_d,2076_2100
VI,NA,NA,NA,0.1193,NA,0.1229,0.1216,0.13001,0.16193,0.12971,delta_d,2076_2100
VII,NA,NA,NA,0.14047,NA,0.14102,0.14779,0.15803,0.17861,0.15288,delta_d,2076_2100
VIII,NA,NA,NA,0.1397,NA,0.13934,0.15329,0.1569,0.17135,0.15747,delta_d,2076_2100
IX,NA,NA,NA,0.11922,NA,0.11511,0.12484,0.13742,0.14422,0.12658,delta_d,2076_2100
X,NA,NA,NA,0.091625,NA,0.087877,0.093168,0.095053,0.10738,0.096031,delta_d,2076_2100
XI,NA,NA,NA,0.066546,NA,0.06897,0.071424,0.074358,0.078478,0.075819,delta_d,2076_2100
XII,NA,NA,NA,0.054577,NA,0.055814,0.05967,0.064194,0.065823,0.062373,delta_d,2076_2100
